 id Especie  Diameter Height ODB TODB Branches foliage Rand set
 1 "BALSAM FIR"  14.3 12.1 48.8 41.2 2.9 4.7 0.272203458454102 0
 2 "BALSAM FIR"  19.9 13.4 97.7 78.5 13.3 5.9 0.610452205961982 0
 3 "BALSAM FIR"  1.9 2.5 0.9 0 0.4 0.5 0.268706249735157 0
 4 "BALSAM FIR"  26.1 13.2 137.1 103.5 23.3 10.4 0.256568093892105 0
 5 "BALSAM FIR"  4.8 5.8 4 2.4 0.6 1 0.997285843339069 0
 6 "BALSAM FIR"  3.9 5.6 3.4 1.8 0.5 1.1 0.642740647242772 0
 7 "BALSAM FIR"  14.5 8.2 68.2 23.7 5.9 38.7 0.931271925418374 0
 8 "BALSAM FIR"  8.4 6.8 18.3 7.6 1.8 8.9 0.722359060618942 0
 9 "BALSAM FIR"  10.8 8.9 22.1 17.8 0.8 3.5 0.500607347095537 0
 10 "BALSAM FIR"  17.2 10.4 78.7 55.3 14.7 8.7 0.399823762788653 0
 11 "BALSAM FIR"  18 11.7 77.1 55.8 7.1 14.2 0.62319332364545 0
 12 "BALSAM FIR"  13 9 34 25.4 3.7 4.9 0.296681026296042 0
 13 "BALSAM FIR"  15.8 10.5 58.8 42.8 7.4 8.6 0.429504175502689 0
 14 "BALSAM FIR"  8 6.3 11.6 6.5 1.2 3.9 0.614061440680721 0
 15 "BALSAM FIR"  5.9 5 5.6 3.7 0.1 1.8 0.576088996168409 0
 16 "BALSAM FIR"  11.9 6 45.2 13.9 11.1 20.2 0.651520087762139 0
 17 "BALSAM FIR"  19.3 13.5 111.9 69.5 21.6 20.8 0.686114857083963 0
 18 "BALSAM FIR"  14.8 10.7 57.3 34.9 7.1 15.3 0.626282656356064 0
 19 "BALSAM FIR"  21 13.5 129.6 87.9 19 22.7 0.834200135702802 0
 20 "BALSAM FIR"  27.7 16.5 253.8 166 42.1 45.6 0.667246683175666 0
 21 "BALSAM FIR"  19.8 13.2 117.7 79.3 17.3 21.1 0.532523441012135 0
 22 "BALSAM FIR"  24.5 14.4 138.9 105.3 12.9 20.7 0.442233590006851 0
 23 "BALSAM FIR"  29.8 16.3 252.9 185.1 43.2 24.5 0.473763917504188 0
 24 "BALSAM FIR"  8 5.5 10.8 4.9 0.7 5.3 0.180456209507119 0
 25 "BALSAM FIR"  4.9 4.6 3.9 1.7 0.6 1.6 0.255197249631205 0
 26 "BALSAM FIR"  5.8 5.2 4.8 2.9 0.5 1.4 0.477892028240393 0
 27 "BALSAM FIR"  6.7 5.2 7.7 3.5 0.8 3.4 0.944982782673349 0
 28 "BALSAM FIR"  14.7 10.1 40 30.3 5.7 4 0.304809880899133 0
 29 "BALSAM FIR"  20.5 12 102.5 74.3 19 9.2 0.714965546716546 0
 30 "BALSAM FIR"  17.6 11.3 63.2 45.2 11.2 6.8 0.989290595964596 0
 31 "BALSAM FIR"  20.3 11.6 89.4 65.6 14.4 9.4 0.467990796447857 0
 32 "BALSAM FIR"  13 10 37.1 26.8 3.1 7.2 0.851542684421262 0
 33 "BALSAM FIR"  21.5 12.8 137.7 89.6 24.5 23.6 0.246509456028972 0
 34 "BALSAM FIR"  15.2 11.3 59.2 42.9 8.3 8.1 0.402025478417144 0
 35 "BALSAM FIR"  16.5 11 51.2 39.3 5.3 6.7 0.608562235080014 0
 36 "BALSAM FIR"  22.5 13.7 123.5 81.3 19.7 22.6 0.617973350785241 0
 37 "BALSAM FIR"  12.8 9.4 42.7 22.7 8.4 11.6 0.184399407841916 0
 38 "BALSAM FIR"  21.9 10.7 153.2 68.3 34.6 50.4 0.990844145911326 0
 39 "BALSAM FIR"  28.6 16.1 314.6 180 86.6 48 0.551473356260581 0
 40 "BALSAM FIR"  16.7 11.5 63.8 42.5 9.7 11.6 0.628236503415584 0
 41 "BALSAM FIR"  15.2 11.8 45.7 37 3.4 5.3 0.731660276776116 0
 42 "BALSAM FIR"  15.9 12.6 67.9 54.5 7.7 5.7 0.784658801255994 0
 43 "BALSAM FIR"  15.5 12.1 53 44.2 4 4.7 0.590353412945234 0
 44 "BALSAM FIR"  13.7 7.9 39.5 20.2 8.8 10.4 0.211100124960827 0
 45 "BALSAM FIR"  13.6 8.8 41.7 24.1 7.2 10.4 0.936785912028419 0
 46 "BALSAM FIR"  9.2 6.4 16.4 9.9 2.7 3.8 0.553002199204371 0
 47 "BALSAM FIR"  18.3 8 76 36.3 13.8 26 0.783565070051079 0
 48 "BALSAM FIR"  12.2 6.5 32.9 15.8 9.1 8 0.128082309548481 0
 49 "BALSAM FIR"  14.4 7.2 44.3 21.8 8.8 13.7 0.810846696085078 0
 50 "BALSAM FIR"  5.2 4.6 5.1 2.2 0.1 2.7 0.746621691926894 0
 51 "BALSAM FIR"  4.4 4 2.8 1.4 0.1 1.4 0.0110052593463233 1
 52 "BALSAM FIR"  4.6 3.3 4.2 1.6 0.2 2.4 0.273361370606188 0
 53 "BALSAM FIR"  10.1 6.9 22 10.7 1.7 9.6 0.647442476204053 0
 54 "BALSAM FIR"  12.1 7.4 34.7 15.9 4.9 13.8 0.921703611789086 0
 55 "BALSAM FIR"  4.4 4.3 3.2 1.8 0.4 1 0.266817798112006 0
 56 "BALSAM FIR"  4.9 5.4 4 2.5 0.2 1.3 0.832629442523976 0
 57 "BALSAM FIR"  8.4 5.6 15.7 6.6 2.2 6.9 0.768299920988572 0
 58 "BALSAM FIR"  5.2 4.5 5.7 2.5 0.5 2.6 0.487749556747248 0
 59 "BALSAM FIR"  4.9 4.8 4.8 2.6 0.6 1.6 0.0918688708088156 1
 60 "BALSAM FIR"  3.4 4.1 2.1 1.5 0.1 0.5 0.873639547502853 0
 61 "BALSAM FIR"  5.9 4.7 5.2 2.8 0.3 2 0.154751767797464 0
 62 "BALSAM FIR"  5.9 4.8 6.7 3.1 0.8 2.9 0.137846230229214 0
 63 "BALSAM FIR"  8.8 5.1 15.3 5.9 2.3 7.1 0.949537658956395 0
 64 "BALSAM FIR"  7.6 5 9.5 4.3 1.3 3.9 0.572306158764781 0
 65 "BALSAM FIR"  11.3 6.1 26.5 12.3 4.7 9.5 0.962816325236193 0
 66 "BALSAM FIR"  6.8 5.7 9.4 4.3 1.5 3.6 0.825859774064135 0
 67 "BALSAM FIR"  11.3 9.6 31.7 20.9 3.8 7.1 0.875056199663895 0
 68 "BALSAM FIR"  9.1 7.9 19.9 13.4 1.7 4.7 0.26358455444113 0
 69 "BALSAM FIR"  14 8.4 45.9 28.9 4.7 12.3 0.747499509963279 0
 70 "BALSAM FIR"  12.3 8.7 35.2 19.4 5.9 9.9 0.473041529389194 0
 71 "BALSAM FIR"  18 11.2 77.7 53.4 7.6 16.7 0.60270033743744 0
 72 "BALSAM FIR"  9.7 6 17.5 9.8 3.8 4 0.812245216333161 0
 73 "BALSAM FIR"  14.9 5.8 47.2 19.3 10 17.8 0.682972506036758 0
 74 "BALSAM FIR"  11.1 5.9 36.6 13 6.1 17.5 0.535937593063405 0
 75 "BALSAM FIR"  7.4 5.5 10.8 4.6 2.4 3.7 0.971604803839857 0
 76 "BALSAM FIR"  4.7 3.5 3.2 1.7 0.3 1.2 0.419737006625205 0
 77 "BALSAM FIR"  5.6 3.2 4.8 1.9 0.6 2.3 0.699560279487431 0
 78 "BALSAM FIR"  6.7 3.4 11.2 3.2 1.8 6.2 0.422438358268155 0
 79 "BALSAM FIR"  2.8 2.3 1.3 0.5 0.1 0.7 0.692994708086506 0
 80 "BALSAM FIR"  4 2.7 2.2 0.9 0.2 1.1 0.674660211367643 0
 81 "BALSAM FIR"  18.5 10.3 86.7 52.1 18.2 16.3 0.318609910962008 0
 82 "BALSAM FIR"  18.1 12.7 99.8 66.3 12.8 20.7 0.00892090523000271 1
 83 "BALSAM FIR"  11.8 9.8 34.2 23.7 3.7 6.8 0.447741060122645 0
 84 "BALSAM FIR"  12.3 10 30.2 23.4 2.8 4 0.531539471282748 0
 85 "BALSAM FIR"  4.1 3.7 2.9 1.2 0.2 1.6 0.548312079296808 0
 86 "BALSAM FIR"  6.3 4.7 6.7 3.2 1 2.6 0.266583157608185 0
 87 "BALSAM FIR"  3.6 3.1 1.9 0.7 0.3 1 0.409818264459417 0
 88 "BALSAM FIR"  5.5 4.1 5.7 2 0.7 3 0.742635551415628 0
 89 "BALSAM FIR"  8.4 5.1 13.8 5.6 2.8 5.5 0.0267132671281775 1
 90 "BALSAM FIR"  7.2 5 10.2 3.9 2.1 4.2 0.387814480155358 0
 91 "BALSAM FIR"  11 9.6 31 19 3.7 8.2 0.734709079457567 0
 92 "BALSAM FIR"  19.1 11.2 97.5 58.3 14 25.2 0.401928097640335 0
 93 "BALSAM FIR"  15.3 11 61.3 43.8 6.5 11 0.410038278132495 0
 94 "BALSAM FIR"  11.3 9.4 31.6 20.4 4 7.3 0.8415379626722 0
 95 "BALSAM FIR"  17.8 10.4 74.3 45.6 10.5 18.3 0.239685503385996 0
 96 "BALSAM FIR"  10.3 9.5 24.9 19.1 2.2 3.6 0.315428027429015 0
 97 "BALSAM FIR"  7.3 5 11.8 4.4 1.5 5.9 0.973723892516967 0
 98 "BALSAM FIR"  7.9 5.8 16.7 6.1 2.6 8.1 0.281049984154995 0
 99 "BALSAM FIR"  6.2 5.2 7.7 3.3 1.1 3.3 0.946788195226801 0
 100 "BALSAM FIR"  4.8 3.8 3.3 1.5 0.5 1.3 0.0693281106072447 1
 101 "BALSAM FIR"  2.7 3.1 1.5 0.6 0.2 0.7 0.723952672854616 0
 102 "BALSAM FIR"  6.5 5.2 6.4 4.4 0.7 1.4 0.105998247896204 0
 103 "BALSAM FIR"  7.3 4.5 8.1 4.1 1.2 2.8 0.736468270364569 0
 104 "BALSAM FIR"  3.1 2.2 2.1 1.3 0.4 0.4 0.1863323624978 0
 105 "BALSAM FIR"  2.9 2.1 1.3 0.6 0.2 0.5 0.321601104674294 0
 106 "BALSAM FIR"  3.6 2.4 1.9 1.1 0.2 0.6 0.917790924247573 0
 107 "BALSAM FIR"  4.5 2.7 3.4 2 0.8 0.6 0.566546794931428 0
 108 "BALSAM FIR"  3.7 3.2 3.2 1.1 0.4 1.8 0.317193323555229 0
 109 "BALSAM FIR"  5.3 3.5 7.4 1.8 1.3 4.3 0.226315379828291 0
 110 "BALSAM FIR"  4.4 3.5 3.8 1.4 0.5 1.9 0.388645434246948 0
 111 "BALSAM FIR"  3.1 2.4 2.4 0.9 0.3 1.2 0.642926549495512 0
 112 "BALSAM FIR"  2.5 2.7 1.4 0.6 0.1 0.7 0.899214690949544 0
 113 "BALSAM FIR"  2.2 2.5 1.1 0.4 0 0.6 0.0519319269422795 1
 114 "BALSAM FIR"  9.2 8.1 16.6 12.1 1.5 3 0.454191546901076 0
 115 "BALSAM FIR"  11.6 8.5 28.9 16.6 6.8 5.6 0.0973635195016751 1
 116 "BALSAM FIR"  14.3 8.8 43.4 23.2 10 10.2 0.259001971353059 0
 117 "BALSAM FIR"  15.5 9.3 55.1 26.5 9.7 19 0.206891756136038 0
 118 "BALSAM FIR"  17.2 9.3 67.8 36.5 14.4 16.9 0.319417735486694 0
 119 "BALSAM FIR"  16 9.6 55.2 39.7 9.1 6.4 0.668921941699516 0
 120 "BALSAM FIR"  16.9 10.9 69.8 53.1 6.2 10.5 0.400706003623416 0
 121 "BALSAM FIR"  23.5 11.8 158.4 88.1 28.4 41.9 0.457488331510831 0
 122 "BALSAM FIR"  7.9 5.3 9.5 5.4 1.4 2.7 0.964729845314209 0
 123 "BALSAM FIR"  9.9 6.6 20.4 13.5 1.4 5.5 0.201752140091505 0
 124 "BALSAM FIR"  12.2 8.8 33.9 20.1 5.4 8.5 0.748772016943779 0
 125 "BALSAM FIR"  13.9 9.7 47.8 26.7 11 10.1 0.501252667410239 0
 126 "BALSAM FIR"  19.1 11.1 91.6 56.2 18 17.4 0.384388961815634 0
 127 "BALSAM FIR"  27.3 14.1 227 142.9 49.4 34.7 0.712151189301329 0
 128 "BALSAM FIR"  24 13 195.1 137.7 34.4 23 0.543469270237225 0
 129 "BALSAM FIR"  20.1 12.3 126.4 78.5 24.1 23.9 0.210210701477038 0
 130 "BALSAM FIR"  14.8 10 55.9 36.9 8.2 10.9 0.0364649737484022 1
 131 "BALSAM FIR"  16 13.5 77.1 57.9 8.1 11.1 0.199548868876111 0
 132 "BALSAM FIR"  15 13.4 66 49.7 9.4 6.9 0.211791402850633 0
 133 "BALSAM FIR"  21.8 15.9 161.2 117.7 24.4 19.1 0.856087847574024 0
 134 "BALSAM FIR"  27.8 17.6 277.3 192.6 53.3 31.4 0.518952495026811 0
 135 "BALSAM FIR"  14.2 11.6 62 38.6 10.6 12.8 0.700925236546663 0
 136 "BALSAM FIR"  25.5 17.7 263.1 194.4 30.7 38.1 0.639768996359433 0
 137 "BALSAM FIR"  18.3 14.9 94.7 75.2 10.5 8.9 0.19664972926226 0
 138 "BALSAM FIR"  20.3 16 124.8 97.3 7.4 20.1 0.982358990019319 0
 139 "BALSAM FIR"  15.6 14.5 74.4 54.1 9.8 10.4 0.468797584683194 0
 140 "BALSAM FIR"  19 14.6 115.5 96.9 10.5 8.1 0.867386702724409 0
 141 "BALSAM FIR"  13.1 10.3 30.9 24.9 3.6 2.3 0.213149713468817 0
 142 "BALSAM FIR"  16.8 11.7 55.9 42.4 6.2 7.2 0.293788537227171 0
 143 "BALSAM FIR"  12 11.7 29.9 26.6 1.9 1.4 0.0938335276638542 1
 144 "BALSAM FIR"  23.6 14.1 152.8 106.4 23.8 22.6 0.124042482664068 0
 145 "BALSAM FIR"  27.5 14.9 201 134.9 41.5 24.6 0.653178753534019 0
 146 "BALSAM FIR"  20.7 13.8 101.7 79.6 16.6 5.5 0.700672583682139 0
 147 "BALSAM FIR"  28.1 16.2 302 194.1 54.2 53.6 0.0185734771553634 1
 148 "BALSAM FIR"  17.5 14.6 86.5 70.1 8 8.4 0.948871533016091 0
 149 "BALSAM FIR"  21.4 13.6 103.9 86.8 11.4 5.7 0.838002157614132 0
 150 "BALSAM FIR"  14.7 12.9 50 42.5 4.3 3.1 0.45573943336157 0
 151 "BALSAM FIR"  21.7 15.3 115.9 93.2 12.8 9.9 0.902256570921488 0
 152 "BALSAM FIR"  12 7.9 24.8 14.9 3.2 6.7 0.989749384702842 0
 153 "BALSAM FIR"  15.7 16.6 90.3 78.6 6.1 5.6 0.214518017676405 0
 154 "BALSAM FIR"  17.5 16.3 76.3 67.2 5.1 4 0.528333322338496 0
 155 "BALSAM FIR"  23.7 17.9 173.5 140.8 15.6 17.1 0.402485190201385 0
 156 "BALSAM FIR"  22 16.4 136.7 111.8 15.9 9 0.119488569829272 0
 157 "BALSAM FIR"  29.7 16.6 272.3 188.2 27.6 56.4 0.850479881160661 0
 158 "BALSAM FIR"  23.1 15 144.5 106.4 12.1 26 0.758178042143028 0
 159 "BALSAM FIR"  18 14 92.2 68.5 8.6 15.2 0.100270637823547 0
 160 "BALSAM FIR"  18.8 16 115.1 92.8 7.6 14.7 0.794507594941563 0
 161 "BALSAM FIR"  13.6 12.2 44.1 35.5 4.6 4 0.69230367108394 0
 162 "BALSAM FIR"  18.3 14.4 102.8 76.2 15.2 11.4 0.237988789100385 0
 163 "BALSAM FIR"  21.8 15.1 138.4 104.8 17 16.6 0.603359883612998 0
 164 "BALSAM FIR"  24.4 15.8 171.6 123.2 21.3 27.1 6.5577861218293E-05 1
 165 "BALSAM FIR"  22.2 15.2 105.9 85.6 12.8 7.5 0.842534678248007 0
 166 "BALSAM FIR"  27 15.7 181.4 139.7 34.9 6.7 0.804170045334787 0
 167 "BALSAM FIR"  22.3 14.2 145.8 115.2 13.3 17.3 0.805243962282442 0
 168 "BALSAM FIR"  13.5 9.3 44.2 32.6 6.1 5.5 0.47225450709802 0
 169 "BALSAM FIR"  18.8 12.9 93.5 74.8 11.6 7.1 0.00798598280852257 1
 170 "BALSAM FIR"  15.5 11.8 58.1 40.1 6.4 11.6 0.556724570100743 0
 171 "BALSAM FIR"  16.4 11.4 66.9 48.2 8.7 10 0.87182470617855 0
